NAME,Year,Income,Population,elevation,risk_score,risk_level,Recommendation,Score,Median Elevation
Monroe,2030,73962.40699,94114.21578,0.8984,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,6,17.8984
Nassau,2030,76189.18157,102606.4583,12.8984,40,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,22,17.8984
Okaloosa,2030,66250.45821,240376.5696,36.8984,40,Low Risk,"Dialogue with county officials, risk is low at this time.",58,17.8984
Okeechobee,2030,45200.35384,45020.92297,11.8984,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,3,17.8984
Orange,2030,60284.23087,1623846.684,111.8984,55,Medium Risk,Avoid low elevation areas to live.,52,17.8984
Osceola,2030,53765.53534,441369.4844,18.8984,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,15,17.8984
Palm Beach,2030,69699.11155,1694577.138,4.8984,70,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,43,17.8984
Pasco,2030,54551.33236,638100.3791,17.8984,70,Medium Risk,Avoid low elevation areas to live.,41,17.8984
Pinellas,2030,55767.10759,1089190.858,3.8984,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,35,17.8984
Polk,2030,51810.81275,823384.1216,32.8984,65,Medium Risk,Avoid low elevation areas to live.,60,17.8984
Putnam,2030,41943.12723,83265.54064,16.8984,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,25,17.8984
Sarasota,2030,60975.41412,492870.3132,6.8984,75,High Risk,"Move to higher ground, avoid low areas and swamp areas.",29,17.8984
St. Johns,2030,80921.04473,310509.6828,5.8984,60,High Risk,"Move to higher ground, avoid low areas and swamp areas.",24,17.8984
St. Lucie,2030,54663.08648,373878.9826,7.8984,65,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,14,17.8984
Santa Rosa,2030,66611.33392,213498.4744,31.8984,35,Low Risk,"Dialogue with county officials, risk is low at this time.",62,17.8984
Seminole,2030,74754.62355,534718.2854,13.8984,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,23,17.8984
Sumter,2030,58515.84515,147350.2875,26.8984,40,Low Risk,No action recommended at this time.,13,17.8984
Suwannee,2030,43923.43795,49370.38657,26.8984,45,Low Risk,"Dialogue with county officials, risk is low at this time.",66,17.8984
Taylor,2030,43972.76201,24752.19547,7.8984,45,Medium Risk,Avoid low elevation areas to live.,34,17.8984
Union,2030,50251.68824,18337.02056,40.8984,25,Low Risk,No action recommended at this time.,17,17.8984
Volusia,2030,53911.47797,628620.1383,7.8984,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,47,17.8984
Wakulla,2030,67106.5788,38343.4175,9.8984,35,Medium Risk,Avoid low elevation areas to live.,36,17.8984
Walton,2030,66747.69148,85518.63092,30.8984,35,Low Risk,"Dialogue with county officials, risk is low at this time.",63,17.8984
Washington,2030,44888.42993,28751.88497,30.8984,45,Low Risk,"Dialogue with county officials, risk is low at this time.",54,17.8984
Alachua,2040,62685.11482,359127.9026,32.7968,55,Medium Risk,Avoid low elevation areas to live.,65,17.7968
Baker,2040,69155.86595,36444.38643,39.7968,25,Low Risk,No action recommended at this time.,9,17.7968
Bay,2040,73531.46322,225968.3503,12.7968,45,Medium Risk,Avoid low elevation areas to live.,55,17.7968
Bradford,2040,66086.93401,36501.13129,44.7968,30,Low Risk,No action recommended at this time.,32,17.7968
Brevard,2040,66963.65145,782320.7523,8.7968,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,42,17.7968
Broward,2040,74002.92528,2507574.715,4.7968,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,44,17.7968
Calhoun,2040,49466.58115,17601.22389,30.7968,35,Low Risk,No action recommended at this time.,33,17.7968
Charlotte,2040,66791.51421,240968.3382,9.7968,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,19,17.7968
Citrus,2040,56587.89968,198404.5345,13.7968,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,26,17.7968
Clay,2040,83387.0881,281460.9546,28.7968,45,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,18,17.7968
Collier,2040,102527.4347,484590.7884,4.7968,60,High Risk,"Move to higher ground, avoid low areas and swamp areas.",27,17.7968
Columbia,2040,55899.87015,89886.43778,35.7968,35,Low Risk,"Dialogue with county officials, risk is low at this time.",61,17.7968
DeSoto,2040,48458.49628,43817.34928,17.7968,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,4,17.7968
Dixie,2040,46256.48086,21613.34343,6.7968,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,28,17.7968
Duval,2040,71087.84169,1283938.868,10.7968,70,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,53,17.7968
Escambia,2040,62010.66559,415146.6865,29.7968,60,Medium Risk,Avoid low elevation areas to live.,64,17.7968
Flagler,2040,75044.88746,148797.9199,5.7968,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,8,17.7968
Franklin,2040,60615.12062,16057.50576,3.7968,45,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,7,17.7968
Gadsden,2040,60164.67472,56520.46001,49.7968,35,Low Risk,"Dialogue with county officials, risk is low at this time.",51,17.7968
Gilchrist,2040,54930.18839,23038.41322,18.7968,40,Low Risk,"Dialogue with county officials, risk is low at this time.",40,17.7968
Glades,2040,56778.45562,15638.36759,11.7968,40,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,1,17.7968
Gulf,2040,63326.53363,18302.79671,4.7968,40,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,12,17.7968
Hamilton,2040,55563.08618,18060.3414,36.7968,30,Low Risk,"Dialogue with county officials, risk is low at this time.",38,17.7968
Hardee,2040,49966.43404,32663.11529,7.7968,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,5,17.7968
Hendry,2040,43655.04585,51094.87759,7.7968,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,2,17.7968
Hernando,2040,62181.78316,250857.4198,17.7968,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,20,17.7968
Highlands,2040,47346.20741,130558.3163,21.7968,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,30,17.7968
Hillsborough,2040,82769.08424,1882590.694,19.7968,60,Medium Risk,Avoid low elevation areas to live.,59,17.7968
Holmes,2040,50617.85119,25345.60764,38.7968,30,Low Risk,"Dialogue with county officials, risk is low at this time.",50,17.7968
IndianRiver,2040,85503.11196,206071.5389,7.7968,45,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,16,17.7968
Jackson,2040,59351.05502,61025.22811,43.7968,35,Low Risk,"Dialogue with county officials, risk is low at this time.",67,17.7968
Jefferson,2040,69106.23698,18712.90729,22.7968,20,Low Risk,"Dialogue with county officials, risk is low at this time.",37,17.7968
Lafayette,2040,67674.12471,10608.70953,21.7968,30,Low Risk,No action recommended at this time.,21,17.7968
Lake,2040,64728.35329,495171.1255,55.7968,50,Low Risk,"Dialogue with county officials, risk is low at this time.",49,17.7968
Lee,2040,76684.79746,981198.5905,4.7968,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,46,17.7968
Leon,2040,68081.6112,376834.8783,37.7968,45,Low Risk,"Dialogue with county officials, risk is low at this time.",56,17.7968
Levy,2040,53103.30209,55345.58348,10.7968,55,Medium Risk,Avoid low elevation areas to live.,45,17.7968
Liberty,2040,57577.11992,10283.71624,26.7968,30,Low Risk,No action recommended at this time.,11,17.7968
Madison,2040,57547.18004,23172.53743,32.7968,30,Low Risk,"Dialogue with county officials, risk is low at this time.",48,17.7968
Manatee,2040,72452.22924,515488.3647,12.7968,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,31,17.7968
Marion,2040,59473.24891,484791.9747,23.7968,60,Medium Risk,Avoid low elevation areas to live.,57,17.7968
Martin,2040,94621.27803,204321.4758,5.7968,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,10,17.7968
Miami-Dade,2040,64667.80596,3484349.785,2.7968,80,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,39,17.7968
Monroe,2040,101641.323,106878.9441,0.7968,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,6,17.7968
Nassau,2040,98868.90905,116522.991,12.7968,40,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,22,17.7968
Okaloosa,2040,80917.42953,272978.8876,36.7968,40,Low Risk,"Dialogue with county officials, risk is low at this time.",58,17.7968
Okeechobee,2040,53289.65251,51127.11899,11.7968,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,3,17.7968
Orange,2040,72483.71479,1844089.306,111.7968,55,Medium Risk,Avoid low elevation areas to live.,52,17.7968
Osceola,2040,62397.09874,501232.5083,18.7968,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,15,17.7968
Palm Beach,2040,91243.11918,1924412.945,4.7968,70,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,43,17.7968
Pasco,2040,67284.2512,724646.0502,17.7968,70,Medium Risk,Avoid low elevation areas to live.,41,17.7968
Pinellas,2040,68716.4764,1236918.013,3.7968,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,35,17.7968
Polk,2040,61083.15473,935059.8606,32.7968,70,Medium Risk,Avoid low elevation areas to live.,60,17.7968
Putnam,2040,50778.63823,94558.86115,16.7968,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,25,17.7968
Sarasota,2040,75281.46771,559718.4039,6.7968,75,High Risk,"Move to higher ground, avoid low areas and swamp areas.",29,17.7968
St. Johns,2040,104498.9145,352624.1678,5.7968,60,High Risk,"Move to higher ground, avoid low areas and swamp areas.",24,17.7968
St. Lucie,2040,66113.21849,424588.2574,7.7968,65,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,14,17.7968
Santa Rosa,2040,80485.22205,242455.3115,31.7968,35,Low Risk,"Dialogue with county officials, risk is low at this time.",62,17.7968
Seminole,2040,94762.74341,607242.2242,13.7968,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,23,17.7968
Sumter,2040,79484.29939,167335.4339,26.7968,40,Low Risk,No action recommended at this time.,13,17.7968
Suwannee,2040,53071.86403,56066.50113,26.7968,45,Low Risk,"Dialogue with county officials, risk is low at this time.",66,17.7968
Taylor,2040,51689.57973,28109.34026,7.7968,45,Medium Risk,Avoid low elevation areas to live.,34,17.7968
Union,2040,60420.92576,20824.07402,40.7968,25,Low Risk,No action recommended at this time.,17,17.7968
Volusia,2040,65460.52831,713880.0027,7.7968,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,47,17.7968
Wakulla,2040,84487.96304,43543.94222,9.7968,35,Medium Risk,Avoid low elevation areas to live.,36,17.7968
Walton,2040,94245.22069,97117.53848,30.7968,35,Low Risk,"Dialogue with county officials, risk is low at this time.",63,17.7968
Washington,2040,55637.59503,32651.50839,30.7968,40,Low Risk,"Dialogue with county officials, risk is low at this time.",54,17.7968
Alachua,2050,77848.17167,407836.4857,32.6952,55,Medium Risk,Avoid low elevation areas to live.,65,17.6952
Baker,2050,83641.76212,41387.34522,39.6952,30,Low Risk,No action recommended at this time.,9,17.6952
Bay,2050,91228.84818,256616.479,12.6952,45,Medium Risk,Avoid low elevation areas to live.,55,17.6952
Bradford,2050,83775.14156,41451.7864,44.6952,25,Low Risk,No action recommended at this time.,32,17.6952
Brevard,2050,77867.31829,888427.059,8.6952,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,42,17.6952
Broward,2050,88542.80209,2847677.532,4.6952,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,44,17.6952
Calhoun,2050,61793.82267,19988.48111,30.6952,35,Low Risk,No action recommended at this time.,33,17.6952
Charlotte,2050,81338.69629,273650.918,9.6952,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,19,17.6952
Citrus,2050,69115.70891,225314.1778,13.6952,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,26,17.6952
Clay,2050,97347.70793,319635.5553,28.6952,45,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,18,17.6952
Collier,2050,136191.3884,550315.9256,4.6952,60,High Risk,"Move to higher ground, avoid low areas and swamp areas.",27,17.6952
Columbia,2050,67609.06797,102077.7518,35.6952,35,Low Risk,"Dialogue with county officials, risk is low at this time.",61,17.6952
DeSoto,2050,56238.06325,49760.30437,17.6952,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,4,17.6952
Dixie,2050,55344.81799,24544.76516,6.6952,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,28,17.6952
Duval,2050,85222.20494,1458079.731,10.6952,70,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,53,17.6952
Escambia,2050,73976.00232,471453.1075,29.6952,60,Medium Risk,Avoid low elevation areas to live.,64,17.6952
Flagler,2050,93746.33055,168979.4089,5.6952,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,8,17.6952
Franklin,2050,78124.01034,18235.38821,3.6952,40,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,7,17.6952
Gadsden,2050,78074.28339,64186.34034,49.6952,30,Low Risk,"Dialogue with county officials, risk is low at this time.",51,17.6952
Gilchrist,2050,66893.97544,26163.11742,18.6952,40,Low Risk,"Dialogue with county officials, risk is low at this time.",40,17.6952
Glades,2050,68134.56413,17759.40225,11.6952,40,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,1,17.6952
Gulf,2050,80511.41202,20785.20837,4.6952,40,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,12,17.6952
Hamilton,2050,67532.14637,20509.8688,36.6952,30,Low Risk,"Dialogue with county officials, risk is low at this time.",38,17.6952
Hardee,2050,57703.06338,37093.21959,7.6952,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,5,17.6952
Hendry,2050,47229.01637,58024.88518,7.6952,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,2,17.6952
Hernando,2050,75650.75179,284881.2575,17.6952,65,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,20,17.6952
Highlands,2050,55109.82832,148265.9646,21.6952,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,30,17.6952
Hillsborough,2050,106989.6478,2137926.814,19.6952,60,Medium Risk,Avoid low elevation areas to live.,59,17.6952
Holmes,2050,63417.76002,28783.23705,38.6952,30,Low Risk,"Dialogue with county officials, risk is low at this time.",50,17.6952
IndianRiver,2050,114909.0326,234021.0594,7.6952,45,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,16,17.6952
Jackson,2050,73924.29808,69302.09097,43.6952,35,Low Risk,"Dialogue with county officials, risk is low at this time.",67,17.6952
Jefferson,2050,89328.66691,21250.94233,22.6952,20,Low Risk,"Dialogue with county officials, risk is low at this time.",37,17.6952
Lafayette,2050,81689.17074,12047.57075,21.6952,30,Low Risk,No action recommended at this time.,21,17.6952
Lake,2050,76387.58749,562331.2758,55.6952,50,Low Risk,"Dialogue with county officials, risk is low at this time.",49,17.6952
Lee,2050,94955.06107,1114278.735,4.6952,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,46,17.6952
Leon,2050,84219.66989,427945.0617,37.6952,45,Low Risk,"Dialogue with county officials, risk is low at this time.",56,17.6952
Levy,2050,64732.62893,62852.11509,10.6952,55,Medium Risk,Avoid low elevation areas to live.,45,17.6952
Liberty,2050,68417.5109,11678.49856,26.6952,30,Low Risk,No action recommended at this time.,11,17.6952
Madison,2050,71327.66068,26315.43292,32.6952,30,Low Risk,"Dialogue with county officials, risk is low at this time.",48,17.6952
Manatee,2050,89188.56439,585404.1459,12.6952,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,31,17.6952
Marion,2050,72213.7556,550544.3989,23.6952,60,Medium Risk,Avoid low elevation areas to live.,57,17.6952
Martin,2050,126178.8559,232033.635,5.6952,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,10,17.6952
Miami-Dade,2050,78752.44469,3956932.784,2.6952,80,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,39,17.6952
Monroe,2050,139678.5066,121374.9548,0.6952,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,6,17.6952
Nassau,2050,128299.858,132327.0256,12.6952,40,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,22,17.6952
Okaloosa,2050,98831.47346,310003.0641,36.6952,40,Low Risk,"Dialogue with county officials, risk is low at this time.",58,17.6952
Okeechobee,2050,62826.65561,58061.49949,11.6952,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,3,17.6952
Orange,2050,87151.96052,2094203.476,111.6952,55,Medium Risk,Avoid low elevation areas to live.,52,17.6952
Osceola,2050,72414.38045,569214.765,18.6952,65,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,15,17.6952
Palm Beach,2050,119446.3833,2185421.425,4.6952,70,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,43,17.6952
Pasco,2050,82989.18219,822929.9266,17.6952,70,Medium Risk,Avoid low elevation areas to live.,41,17.6952
Pinellas,2050,84672.74588,1404681.429,3.6952,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,35,17.6952
Polk,2050,72014.92494,1061882.201,32.6952,70,Medium Risk,Avoid low elevation areas to live.,60,17.6952
Putnam,2050,61475.38992,107383.8968,16.6952,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,25,17.6952
Sarasota,2050,92944.00804,635633.1134,6.6952,75,High Risk,"Move to higher ground, avoid low areas and swamp areas.",29,17.6952
St. Johns,2050,134946.6406,400450.6482,5.6952,60,High Risk,"Move to higher ground, avoid low areas and swamp areas.",24,17.6952
St. Lucie,2050,79961.77935,482175.2404,7.6952,65,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,14,17.6952
Santa Rosa,2050,97248.78016,275339.5698,31.6952,40,Low Risk,"Dialogue with county officials, risk is low at this time.",62,17.6952
Seminole,2050,120126.0486,689602.5982,13.6952,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,23,17.6952
Sumter,2050,107966.5488,190031.1694,26.6952,35,Low Risk,No action recommended at this time.,13,17.6952
Suwannee,2050,64125.73521,63670.81094,26.6952,45,Low Risk,"Dialogue with county officials, risk is low at this time.",66,17.6952
Taylor,2050,60760.62841,31921.81523,7.6952,45,Medium Risk,Avoid low elevation areas to live.,34,17.6952
Union,2050,72648.07208,23648.44698,40.6952,25,Low Risk,No action recommended at this time.,17,17.6952
Volusia,2050,79483.64483,810703.678,7.6952,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,47,17.6952
Wakulla,2050,106371.3279,49449.81507,9.6952,35,Medium Risk,Avoid low elevation areas to live.,36,17.6952
Walton,2050,133070.6939,110289.608,30.6952,35,Low Risk,"Dialogue with county officials, risk is low at this time.",63,17.6952
Washington,2050,68960.79872,37080.03844,30.6952,40,Low Risk,"Dialogue with county officials, risk is low at this time.",54,17.6952
Alachua,2060,96679.05769,463151.4229,32.5936,55,Medium Risk,Avoid low elevation areas to live.,65,17.5936
Baker,2060,101161.9806,47000.71843,39.5936,30,Low Risk,No action recommended at this time.,9,17.5936
Bay,2060,113185.5994,291421.419,12.5936,45,Medium Risk,Avoid low elevation areas to live.,55,17.5936
Bradford,2060,106197.6085,47073.89977,44.5936,25,Low Risk,No action recommended at this time.,32,17.5936
Brevard,2060,90546.4252,1008924.584,8.5936,80,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,42,17.5936
Broward,2060,105939.4311,3233908.556,4.5936,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,44,17.5936
Calhoun,2060,77193.05501,22699.52246,30.5936,35,Low Risk,No action recommended at this time.,33,17.5936
Charlotte,2060,99054.2525,310766.2421,9.5936,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,19,17.5936
Citrus,2060,84417.00868,255873.581,13.5936,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,26,17.5936
Clay,2060,113645.607,362987.7842,28.5936,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,18,17.5936
Collier,2060,180908.5959,624955.3753,4.5936,60,High Risk,"Move to higher ground, avoid low areas and swamp areas.",27,17.5936
Columbia,2060,81770.96047,115922.5759,35.5936,35,Low Risk,"Dialogue with county officials, risk is low at this time.",61,17.5936
DeSoto,2060,65266.56833,56509.30356,17.5936,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,4,17.5936
Dixie,2060,66218.80483,27873.77615,6.5936,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,28,17.5936
Duval,2060,102166.8972,1655839.352,10.5936,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,53,17.5936
Escambia,2060,88250.12386,535396.3787,29.5936,60,Medium Risk,Avoid low elevation areas to live.,64,17.5936
Flagler,2060,117108.2373,191898.1171,5.5936,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,8,17.5936
Franklin,2060,100690.4041,20708.65725,3.5936,40,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,7,17.5936
Gadsden,2060,101315.1613,72891.94542,49.5936,30,Low Risk,"Dialogue with county officials, risk is low at this time.",51,17.5936
Gilchrist,2060,81463.47356,29711.62582,18.5936,40,Low Risk,"Dialogue with county officials, risk is low at this time.",40,17.5936
Glades,2060,81761.97781,20168.11322,11.5936,40,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,1,17.5936
Gulf,2060,102359.7392,23604.30999,4.5936,40,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,12,17.5936
Hamilton,2060,82079.50829,23291.62606,36.5936,25,Low Risk,"Dialogue with county officials, risk is low at this time.",38,17.5936
Hardee,2060,66637.60557,42124.17975,7.5936,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,5,17.5936
Hendry,2060,51095.58228,65894.81097,7.5936,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,2,17.5936
